id,site,sex_coded,sex,age,viewcat,setting,prenumb,prelet,prebody,postnumb,postlet,postbody,ppvt,regular
153,3,1,m,55,3,preschool,15,7,14,22,15,18,42,1
154,3,2,f,52,4,preschool,15,11,18,40,23,23,32,1
155,3,2,f,56,1,preschool,25,24,26,13,7,17,40,0
156,3,1,m,56,4,home,28,11,24,40,14,27,42,1
157,3,2,f,47,2,home,25,19,20,35,24,26,46,1
158,3,2,f,56,2,home,17,18,17,19,17,24,39,1
159,3,2,f,52,3,home,27,15,28,22,16,31,69,1
160,3,2,f,51,4,home,23,14,23,42,37,31,36,1
161,3,1,m,51,1,home,11,13,7,22,8,12,35,0
162,3,2,f,53,3,home,18,15,15,28,32,29,34,1
163,3,1,m,50,4,home,23,11,26,40,22,39,32,1
164,3,2,f,59,4,home,21,10,16,31,22,25,38,1
165,3,1,m,53,3,home,9,12,14,30,28,22,32,1
166,3,1,m,55,3,home,9,10,15,27,20,24,34,1
167,3,1,m,57,1,home,8,13,6,0,6,18,35,0
168,3,1,m,58,2,home,8,5,16,11,14,13,34,1
169,3,1,m,44,3,home,9,12,10,8,15,13,28,1
170,3,1,m,39,1,home,5,12,14,19,11,13,29,0
171,3,1,m,53,4,preschool,16,17,21,29,20,27,37,1
172,3,2,f,52,4,home,9,10,23,20,16,21,32,1
173,3,1,m,57,3,home,19,11,25,25,29,28,35,1
174,3,2,f,40,3,home,14,10,11,21,22,16,35,1
175,3,2,f,47,2,home,7,13,16,18,13,22,32,1
176,3,1,m,51,2,home,24,19,25,24,20,26,47,1
177,3,1,m,48,2,home,14,7,11,27,12,11,35,1
178,3,2,f,49,1,home,9,16,15,17,16,20,35,0
179,3,1,m,50,2,home,17,8,12,13,19,18,30,1
180,4,2,f,53,1,preschool,13,13,10,16,16,19,35,0
181,4,2,f,52,1,preschool,19,15,13,16,11,21,39,0
182,4,1,m,51,1,preschool,17,12,19,27,16,27,39,0
183,4,1,m,52,1,preschool,22,16,20,26,19,25,36,0
184,4,1,m,46,1,preschool,1,3,13,13,11,24,27,0
185,4,2,f,51,1,preschool,25,19,21,25,15,24,45,0
186,4,2,f,47,1,preschool,27,12,19,21,14,24,28,0
187,4,2,f,51,3,preschool,21,13,25,25,16,31,40,1
188,4,2,f,54,1,preschool,8,20,8,11,13,14,47,0
189,4,2,f,54,2,preschool,4,4,12,12,13,17,36,1
190,4,1,m,57,2,preschool,28,11,24,26,24,30,39,1
191,4,1,m,53,2,preschool,9,12,17,20,13,26,39,1
192,4,2,f,50,2,preschool,18,16,20,15,25,28,43,1
193,4,2,f,57,1,preschool,33,23,28,42,25,26,69,0
194,4,2,f,58,1,preschool,44,30,31,44,43,32,69,0
195,4,2,f,58,1,preschool,33,29,28,44,44,29,38,0
196,4,2,f,53,1,preschool,24,19,19,31,13,21,39,0
197,4,2,f,49,1,preschool,13,17,20,21,15,30,30,0
198,4,2,f,51,1,preschool,2,1,10,0,0,13,34,0
199,4,1,m,58,1,preschool,13,13,22,13,18,18,36,0
200,4,2,f,51,1,preschool,10,12,18,14,10,17,48,0
201,4,2,f,53,1,preschool,18,17,21,19,15,28,49,0
202,4,2,f,56,3,preschool,32,17,29,38,33,30,49,1
203,4,2,f,51,3,home,19,11,19,39,19,22,37,1
204,4,1,m,47,1,home,14,12,23,22,15,29,45,0
205,4,2,f,54,4,home,23,14,23,35,41,28,46,1
206,4,1,m,54,4,home,15,15,17,42,30,24,32,1
207,4,2,f,46,1,home,15,14,22,36,24,29,30,0
208,4,2,f,52,2,home,19,15,20,38,45,27,35,1
209,4,2,f,48,1,home,21,18,24,16,17,23,36,0
210,4,1,m,49,2,home,23,21,17,35,14,13,45,1
211,4,1,m,58,1,home,17,7,14,23,15,22,59,0
212,4,1,m,46,3,home,11,13,18,23,14,22,42,1
213,4,1,m,57,1,home,20,19,27,29,19,27,41,0
214,4,1,m,48,4,home,23,12,27,27,17,27,39,1
215,4,2,f,52,2,home,16,8,23,23,16,20,94,1
216,4,1,m,57,2,home,24,17,29,17,32,31,55,1
217,4,1,m,46,3,home,12,9,18,13,18,24,28,1
218,4,1,m,55,2,home,14,12,14,35,40,27,32,1
219,4,1,m,44,3,home,10,11,8,18,23,31,28,1
220,4,1,m,56,1,preschool,29,15,26,40,23,25,59,0
221,4,2,f,44,2,home,10,14,14,26,23,25,27,1
222,4,1,m,59,4,home,27,17,28,29,46,31,61,1
